Category,Category URL,Winners,Runner Ups
Best neighborhood restaurant ,https://www.chicagoreader.com//chicago/best-neighborhood-restaurant/BestOf?oid=4088680,Lula Cafe,Dunlays on Clark|Ciao Amore Ristorante
Best bagels ,https://www.chicagoreader.com//chicago/best-bagels/BestOf?oid=4088681,New York Bagel & Bialy,Bagel on Damen|Chicago Bagel Authority
Best bakery ,https://www.chicagoreader.com//chicago/best-bakery/BestOf?oid=4088697,Bleeding Heart Bakery,Dinkel’s Bakery|Sweet Mandy B’s
Best barbecue ,https://www.chicagoreader.com//chicago/best-barbecue/BestOf?oid=4088858,Smoque,The Smoke Daddy|Honky Tonk Barbeque
Best breakfast ,https://www.chicagoreader.com//chicago/best-breakfast/BestOf?oid=4088859,M. Henry,Bongo Room|Over Easy Cafe
Best brunch ,https://www.chicagoreader.com//chicago/best-brunch/BestOf?oid=4088860,Lula Cafe,M. Henry|Tweet Let's Eat
Best burger ,https://www.chicagoreader.com//chicago/best-burger/BestOf?oid=4088863,Kuma’s Corner,Lockdown Bar & Grill|DMK Burger Bar
Best Chinese ,https://www.chicagoreader.com//chicago/best-chinese/BestOf?oid=4088864,Lao Sze Chuan,Friendship Chinese Restaurant|Sun Wah Bar-B-Que
Best coffee shop ,https://www.chicagoreader.com//chicago/best-coffee-shop/BestOf?oid=4088867,Intelligentsia Coffee and Tea,Bellezza Gelato Caffe|Wormhole Coffee
Best desserts ,https://www.chicagoreader.com//chicago/best-desserts/BestOf?oid=4088868,Hot Chocolate,Bleeding Heart Bakery|Dunlays on Clark
Best Greek ,https://www.chicagoreader.com//chicago/best-greek/BestOf?oid=4088869,Greek Islands,Athenian Room|Athena|The Parthenon
Best hot dog ,https://www.chicagoreader.com//chicago/best-hot-dog/BestOf?oid=4088870,Hot Doug’s,Superdawg|Portillo’s Hot Dogs
Best ice cream ,https://www.chicagoreader.com//chicago/best-ice-cream/BestOf?oid=4088872,Margie’s Candies,Black Dog Gelato|Bellezza Gelato Cafe
Best Indian restaurant ,https://www.chicagoreader.com//chicago/best-indian-restaurant/BestOf?oid=4088873,Chutney Joe’s,Hema’s Kitchen|Cumin|Marigold
Best Italian ,https://www.chicagoreader.com//chicago/best-italian/BestOf?oid=4088875,Cibo Matto,Ciao Amore Ristorante|Frasca Pizzeria & Wine Bar|Mia Francesca
Best Korean ,https://www.chicagoreader.com//chicago/best-korean/BestOf?oid=4088876,San Soo Gab San,Cho Sun Ok Restaurant|Jin Ju
Best Mexican ,https://www.chicagoreader.com//chicago/best-mexican/BestOf?oid=4092029,Frontera Grill,Nuevo Leon|El Cid
Best Middle Eastern ,https://www.chicagoreader.com//chicago/best-middle-eastern/BestOf?oid=4092030,Sultan’s Market,Reza’s|Noon-O-Kabab
Best pizza ,https://www.chicagoreader.com//chicago/best-pizza/BestOf?oid=4092032,Lou Malnati’s,Piece|Pequod’s|Art of Pizza
Best Polish ,https://www.chicagoreader.com//chicago/best-polish/BestOf?oid=4092033,Podhalanka Polska Restauracja |Red Apple,-NA-
Best pub grub ,https://www.chicagoreader.com//chicago/best-pub-grub/BestOf?oid=4092035,Hopleaf,Revolution Brewing Company|Small Bar|Owen & Engine
Best sandwiches ,https://www.chicagoreader.com//chicago/best-sandwiches/BestOf?oid=4092038,Jerry’s,Bari Foods|Hannah’s Bretzel
Best seafood restaurant ,https://www.chicagoreader.com//chicago/best-seafood-restaurant/BestOf?oid=4092160,Shaw’s Crab House,"Joe’s Seafood, Prime Steak and Stone Crab |Glenn’s Diner|GT Fish & Oyster"
Best steak house ,https://www.chicagoreader.com//chicago/best-steak-house/BestOf?oid=4092253,Gibsons,David Burke’s Primehouse|Chicago Cut Steakhouse|Gene & Georgetti
Best sushi ,https://www.chicagoreader.com//chicago/best-sushi/BestOf?oid=4092254,Tank Sushi,Coast Sushi|Arami
Best taqueria ,https://www.chicagoreader.com//chicago/best-taqueria/BestOf?oid=4092259,Big Star,La Pasadita |Taqueria Moran
Best Thai ,https://www.chicagoreader.com//chicago/best-thai/BestOf?oid=4092260,Opart Thai House,Sticky Rice Thai|Spoon Thai
Best vegetarian ,https://www.chicagoreader.com//chicago/best-vegetarian/BestOf?oid=4092261,Chicago Diner,The Handlebar|Green Zebra
Best Vietnamese ,https://www.chicagoreader.com//chicago/best-vietnamese/BestOf?oid=4092262,Tank Noodle,Hai Yen|RunPho 777|Nhu Lan Bakery
Best Italian steak house where my dad felt at home in the 60s and I do now ,https://www.chicagoreader.com//chicago/best-italian-steak-house-where-my-dad-felt-at-home-in-the-60s-and-i-do-nowp/BestOf?oid=4101104,Gene & Georgetti,-NA-
"Best case of nostalgia, bordering on time travel ",https://www.chicagoreader.com//chicago/best-case-of-nostalgia-bordering-on-time-travel/BestOf?oid=4101105,Wormhole Coffee,-NA-
-NA-,https://www.chicagoreader.com//chicago/best-restaurant-empire-founded-the-same-year-as-the-reader/BestOf?oid=4101106,Lettuce Entertain You Enterprises,-NA-
Best restaurant ,https://www.chicagoreader.com//chicago/best-restaurant/BestOf?oid=4101107,Next,-NA-
Best bargain Michelin chef ,https://www.chicagoreader.com//chicago/best-bargain-michelin-chef/BestOf?oid=4101108,"Danny Grant, Balsan",-NA-
"Best chef downshift, animal division ",https://www.chicagoreader.com//chicago/best-chef-downshift-animal-division/BestOf?oid=4101109,"Rob Levitt, the Butcher & Larder",-NA-
"Best chef downshift, vegetable division ",https://www.chicagoreader.com//chicago/best-chef-downshift-vegetable-division/BestOf?oid=4101385,"Art Jackson, Pleasant House Bakery",-NA-
Best venerable restaurant alongside the el ,https://www.chicagoreader.com//chicago/best-venerable-restaurant-alongside-the-el/BestOf?oid=4101386,Daley's Restaurant,-NA-
Best new food truck ,https://www.chicagoreader.com//chicago/best-new-food-truckfood/BestOf?oid=4101387,The Southern Mac Truck,-NA-
Best buffet ,https://www.chicagoreader.com//chicago/best-buffet/BestOf?oid=4101388,Ruby's Fast Food,-NA-
Best game day ,https://www.chicagoreader.com//chicago/best-game-day/BestOf?oid=4101389,Harvard Hunting Club Game Dinner,-NA-
Best dairy product to camp out in front of the cheese shop for ,https://www.chicagoreader.com//chicago/best-dairy-product-to-camp-out-in-front-of-the-cheese-shop-for/BestOf?oid=4101390,Uplands Cheese's Rush Creek Reserve,-NA-
Best use of alcohol at breakfast ,https://www.chicagoreader.com//chicago/best-use-of-alcohol-at-breakfast/BestOf?oid=4101391,Burton's Maplewood Farm rum-infused maple syrup,-NA-
Best university coffeehouse ,https://www.chicagoreader.com//chicago/best-university-coffeehouse/BestOf?oid=4101393,Hallowed Grounds,-NA-
Best bakery you've never heard of ,https://www.chicagoreader.com//chicago/best-bakery-youve-never-heard-of/BestOf?oid=4101397,Pastel Bakery,-NA-
Best place to see bakers at work ,https://www.chicagoreader.com//chicago/best-place-to-see-bakers-at-work/BestOf?oid=4101398,Floriole Cafe and Bakery,-NA-
